feature,pearson_r,p_value,p_fdr_BH,n_samples,fisher_z,t_statistic,abs_r,neg_log10_p,sig_p_0_05,sig_p_0_01,sig_p_0_001,sig_fdr_0_05,sig_fdr_0_10
"Acquisition protocol (2.0)",0.115269108287042,2.45664937103338e-81,4.14805246298987e-77,27280,19.122553593398,19.1656593080149,0.115269108287042,80.6096568244283,1,1,1,1,1
"Diagnoses - secondary ICD10 (Z130)",-0.0892473590444533,1.96442850179471e-79,1.65846876264019e-75,44535,-18.8837628702403,-18.9091876846011,0.0892473590444533,78.7067637733378,1,1,1,1,1
"Diagnoses - ICD10 (Z130 - Z13.0 Special screening examination for diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism)",-0.0884680346781493,4.43596604587586e-78,2.4967095561538e-74,44535,-18.717996265635,-18.7427608850355,0.0884680346781493,77.3530117867215,1,1,1,1,1
"Water hardness (USGS classification) (0.0)",0.0723428330887338,3.13558474676276e-52,1.32360871122723e-48,44079,15.2144391685874,15.2279326553013,0.0723428330887338,51.5036814568711,1,1,1,1,1
"Caffeine drink within last hour (2.0)",-0.0854285804403199,9.90779123222807e-48,3.34586109912342e-44,28761,-14.5225334512534,-14.5405435346785,0.0854285804403199,47.0040231530396,1,1,1,1,1
"When invitation to complete online cognitive function questionnaire sent (0.0)",0.0718084966297154,3.33969374349875e-45,9.39845480982941e-42,38508,14.1150540563794,14.1274131367527,0.0718084966297154,44.4762933570228,1,1,1,1,1
"Verbal interview duration (2.0)",0.0587135435116798,2.00871646027244e-31,4.84531106167146e-28,39382,11.6646154427097,11.6714821039707,0.0587135435116798,30.6970813616238,1,1,1,1,1
"Number of self-reported non-cancer illnesses (2.0)",0.058148031037659,7.48379576217184e-31,1.57954864305339e-27,39382,11.5520098842204,11.558682391587,0.058148031037659,30.1258780731993,1,1,1,1,1
"L1-L4 average height (2.0)",0.0672937642007905,4.79634591622896e-30,8.99847786616955e-27,28576,11.3922522599054,11.4010779783675,0.0672937642007905,29.319089502785,1,1,1,1,1
"Nitrogen dioxide air pollution; 2007 (0.0)",-0.0529348252801215,1.11318464410339e-28,1.87961227156857e-25,43996,-11.1132071996328,-11.1185340557646,0.0529348252801215,27.9534327931996,1,1,1,1,1
"Water hardness (WHO classification) (0.0)",0.0527903244642467,1.39120691864067e-28,2.13550262011343e-25,44079,11.0932637767219,11.0985524760839,0.0527903244642467,27.8566082712009,1,1,1,1,1
"Degree bothered by trouble sleeping in the last 3 months (0.0)",-0.0624101280049688,2.98380864781494e-28,3.8153448160863e-25,31133,-11.0257832370115,-11.0331381017278,0.0624101280049688,27.5252290316896,1,1,1,1,1
